        ||           User                       ||            XForm                     ||
|| Size || #EObject ||  #Triple || #noMM Triple || #EObject ||  #Triple || #noMM Triple ||
||     1||      6032||     29024||     22870    ||      6276||    36383||    23705      ||
||     2||     11710||     56233||     44401    ||     12552||    60069||    47395      ||
||     4||     23180||    111222||     87920    ||     23036||   110091||    86933      ||
||     8||     46728||    224064||    177214    ||     43468||   207590||   164000      ||
||    16||     87396||    418868||    331350    ||     88642||   423172||   334408      ||
||    32||    175754||    842146||    666270    ||    176520||   842552||   665910      ||
||    64||    354762||   1699755||   1344871    ||    361468||  1725452||  1363862      ||
||   128||    708770||   3395942||   2687050    ||    715870||  3416930||  2700938      ||
||   256||   1415954||   6784095||   5368019    ||   1423308||  6793678||  5370248      ||
||   512||   2837336||  13593744||  10756286    ||   2837514|| 13543778|| 10706142      ||
